Voller Name des VO,Kurzform des Namens,Beschreibungstext (1000 Zeichen),Straße,Nr.,PLZ,Adressenzusatz,Öffnungszeiten (optional),Bild,Homepage,Email,Veranstaltungsort,Veranstalter,LAT,LON
Reformations‑Campus,Refo,"Begegnungs‑ und Gemeindecampus der ev. Kirchengemeinde: auf dem Gelände befinden sich Kirche, Kita, Wohn‑ und Gemeinschaftsräume. Der Refo‑Campus ist ein lebendiger Treffpunkt mit rund 600 Menschen täglich und gilt als Anker im Kiez.",Wiclefstraße,32,10551,,,,www.refo‑moabit.de,info@refo‑moabit.de (ersetzt E‑Mail),x,x,5.253.269.674.008.180,13.338.965.568.331.800
Petersburg Art Space,PAS,"Interdisziplinärer Kunst‑ und Musikraum mit Artist‑in‑Residence‑Plätzen. Die 2016 gegründete Non‑Profit‑Initiative fördert experimentelle und improvisierte Musik, Theater‑ und Installationsprojekte, schafft Raum für innovative Ideen und bemüht sich um lokale und internationale Netzwerke.",Kaiserin Augusta Allee,101,10553,,,,www.pas‑berlin.org,info@pas‑berlin.org,x,x,5.253.227.955.082.940,13.323.684.532.383.300
Galerie Nord – Kunstverein Tiergarten,Galerie Nord,"Gemeinnütziger Kunstverein (seit 2004) mit Ausstellungen zeitgenössischer Kunst, interdisziplinären Projekten und urbanen Interventionen. Thematische Ausstellungen zu gesellschaftlichen und künstlerischen Fragen sowie Kooperationen mit nationalen und internationalen Institutionen prägen das Programm.",Turmstraße,75,10551,,Di‑Sa 11:00–19:00 Uhr,,www.kunstverein‑tiergarten.de,info@kunstverein‑tiergarten.de,x,x,5.253.269.674.008.180,13.338.965.568.331.800
Fabriktheater (Kulturfabrik),Fabriktheater,"Kleines, gemütliches Theater in der Kulturfabrik Moabit. Neben eigenen Lesungen, Ausstellungen und Konzerten werden die Räume an andere Veranstalter*innen verliehen; betrieben wird das Haus von einem kleinen, kunstbegeisterten Kollektiv.",Lehrter Straße,35,10557,,,,https://fabrik.theater/,mail@fabrik.theater,x,x,525.252.332.996.821,13.361.574.164.608.300
Filmrauschpalast (Kulturfabrik),Filmrauschpalast,"Unabhängiges Kino, betrieben von Filmrausch Moabit e.V. seit 1991. Der Saal liegt im Hinterhaus der Kulturfabrik und entstand in einem historischen Industriegebäude (ehemals Schlachthof und Keksfabrik) von 1911; hier laufen Arthouse‑Filme, ungewöhnliche Programme und Festivals.",Lehrter Straße,35,10557,,,,www.filmrausch.de,info@filmrausch.de,x,x,525.252.332.996.821,13.361.574.164.608.300
Slaughterhouse (Kulturfabrik),Slaughterhouse,"Musik‑ und Partyclub in der Kulturfabrik mit diverser Programmatik: Indie, Punk, Ska, Alternative, Rock, Wave, Gothic, Hip‑Hop und türkische Pop‑ & Soul‑Konzerte. Ehrenamtliche organisieren regelmäßig Konzert‑ und Partyreihen wie „Factory“, „Angstpop“ und „Satisfactory“.",Lehrter Straße,35,10557,,,,https://slaughterhouse‑berlin.de,booking@slaughterhouse‑berlin.de,x,x,525.252.332.996.821,13.361.574.164.608.300
Perlou,,"Bar/Café in der Perleberger Straße mit minimalistischem, gemütlichem Ambiente und monatlich wechselnden Specials; laut Gästen ein heimeliger Treffpunkt für Drinks.",Perleberger Straße,58,10559,,,,https://perlou‑berlin.de,info@perlou‑berlin.de,x,x,52.532.481.329.730.300,13.352.219.124.531.400
Artenschutz Theater,,"Verstecktes Theater im S‑Bahnbogen 370 zwischen Tiergarten und Moabit. Es bietet Live‑Musik, Improvisationstheater, Lesungen und Tanz, fördert seltene Performance‑Formate und dient als Raum für Veranstaltungen und kreative Projekte.",Lüneburger Straße,370,10557,S‑Bahnbogen 370,,,www.artenschutztheater.de,info@artenschutztheater.de,x,x,525.252.332.996.821,13.361.574.164.608.300
Kallasch &,,"Programmkneipe seit 2014 und beliebte Institution im Kiez. Als sozialer Treffpunkt bietet Kallasch& Konzerte, Jam‑Sessions, Poetry‑Slams, Filme, musikalisches Bingo und Lese‑Veranstaltungen; das Publikum reicht von Studentinnen bis zu Nachbarinnen.",Unionstraße,2,10551,,Do–Sa abends (siehe Programm),,https://kallasch.berlin/,kontakt@kallasch.berlin,x,x,5.253.269.674.008.180,13.338.965.568.331.800
Zentrum für Kunst und Urbanistik (ZK/U),ZK/U,"Künstler:innen‑ und Forscher:innen‑Residenz sowie Programmplattform. ZK/U verbindet lokale Praxis mit globalen Diskursen, bietet Arbeitsräume und Wohnresidenzen (2–12 Monate) für künstlerische und stadtforschende Projekte und organisiert Programme zu Stadt, Kultur und Beteiligung.",Siemensstraße,27,10551,,,,https://www.zku‑berlin.org/,lg@zku‑berlin.org,x,x,5.253.269.674.008.180,13.338.965.568.331.800
